=== flashprobe start 2026-08-15T21:52:42.5662916+02:00 (no filter) ===
host hwnd=0xBE146E SHELLHOOK message id=49193 (0xC029)
RegisterShellHookWindow OK — listening. Ctrl+C to stop.
cols: time | wParam(raw) | name | hwnd | visible | process | title
21:52:42.624 | 0x0006 | HSHELL_REDRAW                | 0x01FA14C4 | vis=n | WindowsTerminal    | "Windows Terminal"
21:52:42.627 | 0x0010 | HSHELL_MONITORCHANGED        | 0x01FA14C4 | vis=n | WindowsTerminal    | "Windows Terminal"
21:52:42.643 | 0x0001 | HSHELL_WINDOWCREATED         | 0x01FA14C4 | vis=Y | WindowsTerminal    | "Windows Terminal"
21:52:42.644 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x01FA14C4 | vis=Y | WindowsTerminal    | "Windows Terminal"
21:52:42.647 | 0x0006 | HSHELL_REDRAW                | 0x01FA14C4 | vis=Y | WindowsTerminal    | "Terminal"
21:52:42.689 | 0x0006 | HSHELL_REDRAW                | 0x003C12E4 | vis=n | WindowsTerminal    | "Windows Terminal"
21:52:42.689 | 0x0010 | HSHELL_MONITORCHANGED        | 0x003C12E4 | vis=n | WindowsTerminal    | "Windows Terminal"
21:52:42.705 | 0x0001 | HSHELL_WINDOWCREATED         | 0x003C12E4 | vis=Y | WindowsTerminal    | "Windows Terminal"
21:52:42.706 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x003C12E4 | vis=Y | WindowsTerminal    | "Windows Terminal"
21:52:42.708 | 0x0006 | HSHELL_REDRAW                | 0x01FA14C4 | vis=Y | WindowsTerminal    | "C:\\WINDOWS\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"
21:52:42.713 | 0x0006 | HSHELL_REDRAW                | 0x003C12E4 | vis=Y | WindowsTerminal    | "Terminal"
21:52:42.714 | 0x0006 | HSHELL_REDRAW                | 0x01FA14C4 | vis=Y | WindowsTerminal    | "Windows PowerShell"
21:52:42.757 | 0x0006 | HSHELL_REDRAW                | 0x003C12E4 | vis=Y | WindowsTerminal    | "C:\\WINDOWS\\system32\\wsl.exe"
