=== flashprobe start 2026-08-15T19:50:44.3490089+02:00 (no filter) ===
host hwnd=0xB3116E SHELLHOOK message id=49193 (0xC029)
RegisterShellHookWindow OK — listening. Ctrl+C to stop.
cols: time | wParam(raw) | name | hwnd | visible | process | title
19:50:45.029 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D1 verify-win32-assumptions"
19:50:45.988 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D0 verify-win32-assumptions"
19:50:46.949 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D1 verify-win32-assumptions"
19:50:47.910 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D0 verify-win32-assumptions"
19:50:48.871 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D1 verify-win32-assumptions"
19:50:49.833 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D0 verify-win32-assumptions"
19:50:50.793 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D1 verify-win32-assumptions"
19:50:51.755 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D0 verify-win32-assumptions"
19:50:52.716 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D1 verify-win32-assumptions"
19:50:53.677 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D0 verify-win32-assumptions"
19:50:54.638 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D1 verify-win32-assumptions"
19:50:55.599 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D0 verify-win32-assumptions"
19:50:56.560 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D1 verify-win32-assumptions"
19:50:57.520 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D0 verify-win32-assumptions"
19:50:58.481 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D1 verify-win32-assumptions"
19:50:59.442 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D0 verify-win32-assumptions"
19:51:00.403 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D1 verify-win32-assumptions"
19:51:01.364 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D0 verify-win32-assumptions"
19:51:02.324 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D1 verify-win32-assumptions"
19:51:02.595 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x00000000 | vis=n | Idle               | ""
19:51:02.601 | 0x0002 | HSHELL_WINDOWDESTROYED       | 0x001807A6 | vis=n | explorer           | "Default IME"
19:51:02.606 | 0x0002 | HSHELL_WINDOWDESTROYED       | 0x001807A6 | vis=n | Idle               | ""
19:51:02.619 | 0x0010 | HSHELL_MONITORCHANGED        | 0x00111464 | vis=n | chrome             | ""
19:51:02.629 | 0x0002 | HSHELL_WINDOWDESTROYED       | 0x00111464 | vis=n | Idle               | ""
19:51:02.629 | 0x0006 | HSHELL_REDRAW                | 0x001907A6 | vis=n | chrome             | ""
19:51:02.629 | 0x0010 | HSHELL_MONITORCHANGED        | 0x001907A6 | vis=n | chrome             | ""
19:51:02.643 | 0x0006 | HSHELL_REDRAW                | 0x001907A6 | vis=n | chrome             | "Untitled - Google Chrome"
19:51:02.652 | 0x0006 | HSHELL_REDRAW                | 0x001907A6 | vis=n | chrome             | "New Tab - Google Chrome"
19:51:02.661 | 0x0001 | HSHELL_WINDOWCREATED         | 0x001907A6 | vis=Y | chrome             | "New Tab - Google Chrome"
19:51:02.671 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x001907A6 | vis=Y | chrome             | "New Tab - Google Chrome"
19:51:06.203 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u2733 verify-win32-assumptions"
19:51:07.977 | 0x0006 | HSHELL_REDRAW                | 0x001907A6 | vis=Y | chrome             | "YouTube Music - Google Chrome"
19:51:24.548 | 0x8006 | HSHELL_FLASH                 | 0x001111C2 | vis=Y | ms-teams           | "Chat | anton suchov | Microsoft Teams"
19:51:25.073 | 0x0006 | HSHELL_REDRAW                | 0x001111C2 | vis=Y | ms-teams           | "Chat | anton suchov | Microsoft Teams"
19:51:25.607 | 0x8006 | HSHELL_FLASH                 | 0x001111C2 | vis=Y | ms-teams           | "Chat | anton suchov | Microsoft Teams"
19:51:26.135 | 0x0006 | HSHELL_REDRAW                | 0x001111C2 | vis=Y | ms-teams           | "Chat | anton suchov | Microsoft Teams"
19:51:26.669 | 0x8006 | HSHELL_FLASH                 | 0x001111C2 | vis=Y | ms-teams           | "Chat | anton suchov | Microsoft Teams"
19:51:28.578 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x00060C58 | vis=Y | WindowsTerminal    | "\u2733 verify-win32-assumptions"
19:51:32.853 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D1 verify-win32-assumptions"
19:51:33.814 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D0 verify-win32-assumptions"
19:51:34.774 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D1 verify-win32-assumptions"
19:51:35.735 | 0x0006 | HSHELL_REDRAW                | 0x00060C58 | vis=Y | WindowsTerminal    | "\u25D0 verify-win32-assumptions"
