=== flashprobe start 2026-08-15T19:09:52.4351314+02:00 (no filter) ===
host hwnd=0x681016 SHELLHOOK message id=49193 (0xC029)
RegisterShellHookWindow OK — listening. Ctrl+C to stop.
cols: time | wParam(raw) | name | hwnd | visible | process | title
19:10:01.553 | 0x0010 | HSHELL_MONITORCHANGED        | 0x002413D0 | vis=n | taskhostw          | "Task Host Window"
19:10:01.605 | 0x0002 | HSHELL_WINDOWDESTROYED       | 0x002413D0 | vis=n | taskhostw          | "Task Host Window"
19:10:01.612 | 0x0002 | HSHELL_WINDOWDESTROYED       | 0x002413D0 | vis=n | Idle               | ""
19:10:10.990 | 0x0006 | HSHELL_REDRAW                | 0x00060F70 | vis=Y | Telegram           | "\u200EOleksandra Suchova \u2013 (2)"
19:10:10.992 | 0x0006 | HSHELL_REDRAW                | 0x00060F70 | vis=Y | Telegram           | "\u200EOleksandra Suchova \u2013 (2)"
19:10:10.992 | 0x0006 | HSHELL_REDRAW                | 0x00060F70 | vis=Y | Telegram           | "\u200EOleksandra Suchova \u2013 (2)"
19:10:22.462 | 0x0006 | HSHELL_REDRAW                | 0x002713D0 | vis=n | WindowsTerminal    | "Windows Terminal"
19:10:22.463 | 0x0010 | HSHELL_MONITORCHANGED        | 0x002713D0 | vis=n | WindowsTerminal    | "Windows Terminal"
19:10:22.473 | 0x0006 | HSHELL_REDRAW                | 0x002713D0 | vis=n | WindowsTerminal    | "Terminal"
19:10:22.535 | 0x0006 | HSHELL_REDRAW                | 0x002713D0 | vis=n | WindowsTerminal    | "new-window"
19:10:22.550 | 0x0001 | HSHELL_WINDOWCREATED         | 0x002713D0 | vis=Y | WindowsTerminal    | "new-window"
19:10:22.552 | 0x0006 | HSHELL_REDRAW                | 0x002713D0 | vis=Y | WindowsTerminal    | "new-window"
19:10:23.087 | 0x8006 | HSHELL_FLASH                 | 0x002713D0 | vis=Y | WindowsTerminal    | "new-window"
19:10:23.617 | 0x0006 | HSHELL_REDRAW                | 0x002713D0 | vis=Y | WindowsTerminal    | "new-window"
19:10:24.157 | 0x8006 | HSHELL_FLASH                 | 0x002713D0 | vis=Y | WindowsTerminal    | "new-window"
19:10:24.679 | 0x0006 | HSHELL_REDRAW                | 0x002713D0 | vis=Y | WindowsTerminal    | "new-window"
19:10:25.208 | 0x8006 | HSHELL_FLASH                 | 0x002713D0 | vis=Y | WindowsTerminal    | "new-window"
19:10:25.683 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x00000000 | vis=n | Idle               | ""
19:10:25.742 | 0x0006 | HSHELL_REDRAW                | 0x002713D0 | vis=Y | WindowsTerminal    | "new-window"
19:10:25.794 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x002713D0 | vis=Y | WindowsTerminal    | "new-window"
19:10:26.272 | 0x0006 | HSHELL_REDRAW                | 0x002713D0 | vis=Y | WindowsTerminal    | "new-window"
19:10:37.893 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x000D0CA6 | vis=Y | chrome             | "Legends Never Die - YouTube - Google Chrome"
19:11:10.734 | 0x0002 | HSHELL_WINDOWDESTROYED       | 0x002713D0 | vis=n | WindowsTerminal    | "new-window"
19:11:10.744 | 0x0002 | HSHELL_WINDOWDESTROYED       | 0x002713D0 | vis=n | Idle               | ""
19:11:12.824 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=n | WindowsTerminal    | "Windows Terminal"
19:11:12.826 | 0x0010 | HSHELL_MONITORCHANGED        | 0x002813D0 | vis=n | WindowsTerminal    | "Windows Terminal"
19:11:12.848 | 0x0001 | HSHELL_WINDOWCREATED         | 0x002813D0 | vis=Y | WindowsTerminal    | "Windows Terminal"
19:11:12.848 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x002813D0 | vis=Y | WindowsTerminal    | "Windows Terminal"
19:11:12.851 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=Y | WindowsTerminal    | "Terminal"
19:11:12.885 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=Y | WindowsTerminal    | "C:\\WINDOWS\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"
19:11:12.904 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=Y | WindowsTerminal    | "Windows PowerShell"
19:11:13.107 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:11:25.644 | 0x0005 | HSHELL_GETMINRECT            | 0x987F17E280 | vis=n | Idle               | ""
19:11:25.650 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x000D0CA6 | vis=Y | chrome             | "Legends Never Die - YouTube - Google Chrome"
19:12:07.702 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x0017145E | vis=Y | WindowsTerminal    | "HYDRAWIN-SPIKE-GUINEA-PIG"
19:12:09.090 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x00000000 | vis=n | Idle               | ""
19:12:09.150 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:09.175 | 0x0005 | HSHELL_GETMINRECT            | 0x987F17E280 | vis=n | Idle               | ""
19:12:10.660 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x000D0CA6 | vis=Y | chrome             | "Legends Never Die - YouTube - Google Chrome"
19:12:34.871 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x00000000 | vis=n | Idle               | ""
19:12:35.023 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x0017145E | vis=Y | WindowsTerminal    | "HYDRAWIN-SPIKE-GUINEA-PIG"
19:12:37.454 | 0x0004 | HSHELL_WINDOWACTIVATED       | 0x000D0CA6 | vis=Y | chrome             | "Legends Never Die - YouTube - Google Chrome"
19:12:52.524 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:53.058 | 0x8006 | HSHELL_FLASH                 | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:53.591 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:54.114 | 0x8006 | HSHELL_FLASH                 | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:54.658 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:55.183 | 0x8006 | HSHELL_FLASH                 | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:55.708 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:56.242 | 0x8006 | HSHELL_FLASH                 | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:56.776 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:57.306 | 0x8006 | HSHELL_FLASH                 | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:57.840 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:58.366 | 0x8006 | HSHELL_FLASH                 | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:12:58.906 | 0x8006 | HSHELL_FLASH                 | 0x002813D0 | vis=Y | WindowsTerminal    | "HYDRAWIN-BELL"
19:13:10.697 | 0x0010 | HSHELL_MONITORCHANGED        | 0x000A13F6 | vis=n | conhost            | "C:\\projects\\HydraWin\\spikes\\HideShow\\bin\\Debug\\net10.0-windows\\hideshow.exe"
19:13:10.698 | 0x0006 | HSHELL_REDRAW                | 0x000A13F6 | vis=n | conhost            | "C:\\projects\\HydraWin\\spikes\\HideShow\\bin\\Debug\\net10.0-windows\\hideshow.exe"
19:13:10.699 | 0x0006 | HSHELL_REDRAW                | 0x000A13F6 | vis=n | conhost            | "C:\\projects\\HydraWin\\spikes\\HideShow\\bin\\Debug\\net10.0-windows\\hideshow.exe"
19:13:10.795 | 0x0002 | HSHELL_WINDOWDESTROYED       | 0x002813D0 | vis=n | WindowsTerminal    | "HYDRAWIN-BELL"
19:13:13.834 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=n | WindowsTerminal    | "HYDRAWIN-BELL"
19:13:14.376 | 0x8006 | HSHELL_FLASH                 | 0x002813D0 | vis=n | WindowsTerminal    | "HYDRAWIN-BELL"
19:13:14.906 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=n | WindowsTerminal    | "HYDRAWIN-BELL"
19:13:15.427 | 0x8006 | HSHELL_FLASH                 | 0x002813D0 | vis=n | WindowsTerminal    | "HYDRAWIN-BELL"
19:13:15.961 | 0x0006 | HSHELL_REDRAW                | 0x002813D0 | vis=n | WindowsTerminal    | "HYDRAWIN-BELL"
19:13:16.491 | 0x8006 | HSHELL_FLASH                 | 0x002813D0 | vis=n | WindowsTerminal    | "HYDRAWIN-BELL"
