=== titlewatch start 2026-08-15T19:09:52.4425399+02:00 (no filter) (incl. hidden windows) ===
cols: time | hwnd | visible | process | class | new title
hook=0x22BD1275 — listening. Ctrl+C to stop.
auto-stop in 2400s
19:10:10.993 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200EOleksandra Suchova \u2013 (2)"
19:10:22.473 | 0x002713D0 | vis=n | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "Terminal"
19:10:22.535 | 0x002713D0 | vis=n | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "new-window"
19:11:12.851 | 0x002813D0 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "Terminal"
19:11:12.885 | 0x002813D0 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "C:\\WINDOWS\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"
19:11:12.904 | 0x002813D0 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "Windows PowerShell"
19:11:13.107 | 0x002813D0 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "HYDRAWIN-BELL"
19:13:50.292 | 0x00111438 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "Terminal"
19:13:50.326 | 0x00111438 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "C:\\WINDOWS\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"
19:13:50.345 | 0x00111438 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "Windows PowerShell"
19:13:50.548 | 0x00111438 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "HYDRAWIN-BELL2"
19:14:24.867 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u2733 Initialize git repository with initial commit"
19:14:45.817 | 0x006E13C0 | vis=n | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "Terminal"
19:14:45.818 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:14:45.866 | 0x006E13C0 | vis=n | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u2733 Initialize git repository with initial commit"
19:14:46.342 | 0x005113E6 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "Terminal"
19:14:46.400 | 0x005113E6 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "C:\\WINDOWS\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"
19:14:46.413 | 0x005113E6 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "Windows PowerShell"
19:14:46.614 | 0x005113E6 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "HYDRAWIN-BELL3"
